CHROMOSOME	LENGTH	ALIGNED_READS	SAMPLE_NAME
GL000233.1	45941	0	BC18-P1
GL000204.1	81310	127	BC18-P1
GL000198.1	90085	2	BC18-P1
GL000208.1	92689	30	BC18-P1
GL000191.1	106433	237	BC18-P1
GL000227.1	128374	2834	BC18-P1
GL000228.1	129120	230	BC18-P1
GL000214.1	137718	60	BC18-P1
GL000221.1	155397	114	BC18-P1
GL000209.1	159169	12	BC18-P1
GL000218.1	161147	15	BC18-P1
GL000220.1	161802	21	BC18-P1
GL000213.1	164239	26	BC18-P1
GL000211.1	166566	9	BC18-P1
GL000199.1	169874	55	BC18-P1
GL000217.1	172149	70	BC18-P1
GL000216.1	172294	143	BC18-P1
GL000215.1	172545	28	BC18-P1
GL000205.1	174588	0	BC18-P1
GL000219.1	179198	4	BC18-P1
GL000224.1	179693	16	BC18-P1
GL000223.1	180455	35	BC18-P1
GL000195.1	182896	0	BC18-P1
GL000212.1	186858	7712	BC18-P1
GL000222.1	186861	125	BC18-P1
GL000200.1	187035	49	BC18-P1
GL000193.1	189789	6	BC18-P1
GL000194.1	191469	58	BC18-P1
GL000225.1	211173	32	BC18-P1
GL000192.1	547496	80	BC18-P1
1	249250621	3045195	BC02-P1
2	243199373	1962108	BC02-P1
3	198022430	1683895	BC02-P1
4	191154276	984712	BC02-P1
5	180915260	1468981	BC02-P1
6	171115067	1729373	BC02-P1
7	159138663	1756189	BC02-P1
8	146364022	876069	BC02-P1
9	141213431	1409086	BC02-P1
10	135534747	949733	BC02-P1
11	135006516	1270750	BC02-P1
12	133851895	1902804	BC02-P1
13	115169878	687761	BC02-P1
14	107349540	465524	BC02-P1
15	102531392	865307	BC02-P1
16	90354753	1799981	BC02-P1
17	81195210	1848269	BC02-P1
18	78077248	243664	BC02-P1
19	59128983	2888177	BC02-P1
20	63025520	781398	BC02-P1
21	48129895	537428	BC02-P1
22	51304566	576920	BC02-P1
X	155270560	1472386	BC02-P1
Y	59373566	847	BC02-P1
MT	16569	23	BC02-P1
GL000207.1	4262	0	BC02-P1
GL000226.1	15008	3	BC02-P1
GL000229.1	19913	1	BC02-P1
GL000231.1	27386	0	BC02-P1
GL000210.1	27682	6	BC02-P1
GL000239.1	33824	10	BC02-P1
GL000235.1	34474	0	BC02-P1
GL000201.1	36148	14	BC02-P1
GL000247.1	36422	7	BC02-P1
GL000245.1	36651	9	BC02-P1
GL000197.1	37175	17	BC02-P1
GL000203.1	37498	1	BC02-P1
GL000246.1	38154	6	BC02-P1
GL000249.1	38502	2	BC02-P1
GL000196.1	38914	4	BC02-P1
GL000248.1	39786	0	BC02-P1
GL000244.1	39929	10	BC02-P1
GL000238.1	39939	2	BC02-P1
GL000202.1	40103	3	BC02-P1
GL000234.1	40531	0	BC02-P1
GL000232.1	40652	0	BC02-P1
GL000206.1	41001	14	BC02-P1
GL000240.1	41933	10	BC02-P1
GL000236.1	41934	6721	BC02-P1
GL000241.1	42152	5	BC02-P1
GL000243.1	43341	48	BC02-P1
GL000242.1	43523	6	BC02-P1
GL000230.1	43691	0	BC02-P1
GL000237.1	45867	16	BC02-P1
GL000233.1	45941	1	BC02-P1
GL000204.1	81310	33	BC02-P1
GL000198.1	90085	2	BC02-P1
GL000208.1	92689	31	BC02-P1
GL000191.1	106433	269	BC02-P1
GL000227.1	128374	3367	BC02-P1
GL000228.1	129120	161	BC02-P1
GL000214.1	137718	30	BC02-P1
GL000221.1	155397	81	BC02-P1
GL000209.1	159169	19	BC02-P1
GL000218.1	161147	19	BC02-P1
GL000220.1	161802	37	BC02-P1
GL000213.1	164239	11	BC02-P1
GL000211.1	166566	14	BC02-P1
GL000199.1	169874	31	BC02-P1
GL000217.1	172149	65	BC02-P1
GL000216.1	172294	96	BC02-P1
GL000215.1	172545	21	BC02-P1
GL000205.1	174588	1	BC02-P1
GL000219.1	179198	11	BC02-P1
GL000224.1	179693	12	BC02-P1
GL000223.1	180455	26	BC02-P1
GL000195.1	182896	1	BC02-P1
GL000212.1	186858	8703	BC02-P1
GL000222.1	186861	88	BC02-P1
GL000200.1	187035	40	BC02-P1
GL000193.1	189789	13	BC02-P1
GL000194.1	191469	42	BC02-P1
GL000225.1	211173	12	BC02-P1
GL000192.1	547496	89	BC02-P1
1	249250621	3979775	BC03-T
2	243199373	2321921	BC03-T
3	198022430	2360752	BC03-T
4	191154276	824421	BC03-T
5	180915260	1353185	BC03-T
6	171115067	2473686	BC03-T
7	159138663	1707108	BC03-T
8	146364022	579516	BC03-T
9	141213431	1429460	BC03-T
10	135534747	1218979	BC03-T
11	135006516	1293301	BC03-T
12	133851895	2330638	BC03-T
13	115169878	800535	BC03-T
14	107349540	458907	BC03-T
15	102531392	918025	BC03-T
16	90354753	2593979	BC03-T
17	81195210	2466528	BC03-T
18	78077248	349892	BC03-T
19	59128983	3260787	BC03-T
20	63025520	781080	BC03-T
21	48129895	453874	BC03-T
22	51304566	484862	BC03-T
X	155270560	2438089	BC03-T
Y	59373566	9094	BC03-T
MT	16569	53	BC03-T
GL000207.1	4262	0	BC03-T
GL000226.1	15008	10	BC03-T
GL000229.1	19913	6	BC03-T
GL000231.1	27386	0	BC03-T
GL000210.1	27682	6	BC03-T
GL000239.1	33824	7	BC03-T
GL000235.1	34474	0	BC03-T
GL000201.1	36148	17	BC03-T
GL000247.1	36422	10	BC03-T
GL000245.1	36651	40	BC03-T
GL000197.1	37175	7	BC03-T
GL000203.1	37498	2	BC03-T
GL000246.1	38154	4	BC03-T
GL000249.1	38502	10	BC03-T
GL000196.1	38914	0	BC03-T
GL000248.1	39786	2	BC03-T
GL000244.1	39929	12	BC03-T
GL000238.1	39939	4	BC03-T
GL000202.1	40103	4	BC03-T
GL000234.1	40531	0	BC03-T
GL000232.1	40652	2	BC03-T
GL000206.1	41001	6	BC03-T
GL000240.1	41933	5	BC03-T
GL000236.1	41934	1353	BC03-T
GL000241.1	42152	3	BC03-T
GL000243.1	43341	29	BC03-T
GL000242.1	43523	15	BC03-T
GL000230.1	43691	0	BC03-T
GL000237.1	45867	17	BC03-T
GL000233.1	45941	1	BC03-T
GL000204.1	81310	16	BC03-T
GL000198.1	90085	6	BC03-T
GL000208.1	92689	27	BC03-T
GL000191.1	106433	255	BC03-T
GL000227.1	128374	1433	BC03-T
GL000228.1	129120	140	BC03-T
GL000214.1	137718	43	BC03-T
GL000221.1	155397	121	BC03-T
GL000209.1	159169	11	BC03-T
GL000218.1	161147	26	BC03-T
GL000220.1	161802	40	BC03-T
GL000213.1	164239	8	BC03-T
GL000211.1	166566	19	BC03-T
GL000199.1	169874	48	BC03-T
GL000217.1	172149	50	BC03-T
GL000216.1	172294	242	BC03-T
GL000215.1	172545	24	BC03-T
GL000205.1	174588	0	BC03-T
GL000219.1	179198	8	BC03-T
GL000224.1	179693	28	BC03-T
GL000223.1	180455	17	BC03-T
GL000195.1	182896	1	BC03-T
GL000212.1	186858	5960	BC03-T
GL000222.1	186861	79	BC03-T
GL000200.1	187035	38	BC03-T
GL000193.1	189789	7	BC03-T
GL000194.1	191469	22	BC03-T
GL000225.1	211173	43	BC03-T
GL000192.1	547496	77	BC03-T
1	249250621	4546198	BC01-T
2	243199373	2936738	BC01-T
3	198022430	2967874	BC01-T
4	191154276	995146	BC01-T
5	180915260	1801763	BC01-T
6	171115067	3021651	BC01-T
7	159138663	2109802	BC01-T
8	146364022	691315	BC01-T
9	141213431	1380281	BC01-T
10	135534747	1360636	BC01-T
11	135006516	1736836	BC01-T
12	133851895	3628956	BC01-T
13	115169878	1226781	BC01-T
14	107349540	591698	BC01-T
15	102531392	1229851	BC01-T
16	90354753	3102217	BC01-T
17	81195210	2991903	BC01-T
18	78077248	429852	BC01-T
19	59128983	3769154	BC01-T
20	63025520	1100768	BC01-T
21	48129895	679283	BC01-T
22	51304566	678261	BC01-T
X	155270560	2529703	BC01-T
Y	59373566	11648	BC01-T
MT	16569	89	BC01-T
GL000207.1	4262	0	BC01-T
GL000226.1	15008	14	BC01-T
GL000229.1	19913	1	BC01-T
GL000231.1	27386	4	BC01-T
GL000210.1	27682	8	BC01-T
GL000239.1	33824	11	BC01-T
GL000235.1	34474	0	BC01-T
GL000201.1	36148	2	BC01-T
GL000247.1	36422	18	BC01-T
GL000245.1	36651	21	BC01-T
GL000197.1	37175	16	BC01-T
GL000203.1	37498	4	BC01-T
GL000246.1	38154	0	BC01-T
GL000249.1	38502	11	BC01-T
GL000196.1	38914	2	BC01-T
GL000248.1	39786	4	BC01-T
GL000244.1	39929	16	BC01-T
GL000238.1	39939	9	BC01-T
GL000202.1	40103	11	BC01-T
GL000234.1	40531	2	BC01-T
GL000232.1	40652	0	BC01-T
GL000206.1	41001	16	BC01-T
GL000240.1	41933	14	BC01-T
GL000236.1	41934	1523	BC01-T
GL000241.1	42152	6	BC01-T
GL000243.1	43341	22	BC01-T
GL000242.1	43523	8	BC01-T
GL000230.1	43691	0	BC01-T
GL000237.1	45867	5	BC01-T
GL000233.1	45941	0	BC01-T
GL000204.1	81310	21	BC01-T
GL000198.1	90085	2	BC01-T
GL000208.1	92689	31	BC01-T
GL000191.1	106433	350	BC01-T
GL000227.1	128374	1602	BC01-T
GL000228.1	129120	149	BC01-T
GL000214.1	137718	31	BC01-T
GL000221.1	155397	106	BC01-T
GL000209.1	159169	5	BC01-T
GL000218.1	161147	24	BC01-T
GL000220.1	161802	32	BC01-T
GL000213.1	164239	11	BC01-T
GL000211.1	166566	13	BC01-T
GL000199.1	169874	58	BC01-T
GL000217.1	172149	66	BC01-T
GL000216.1	172294	256	BC01-T
GL000215.1	172545	5	BC01-T
GL000205.1	174588	3	BC01-T
GL000219.1	179198	10	BC01-T
GL000224.1	179693	32	BC01-T
GL000223.1	180455	39	BC01-T
GL000195.1	182896	0	BC01-T
GL000212.1	186858	8162	BC01-T
GL000222.1	186861	59	BC01-T
GL000200.1	187035	21	BC01-T
GL000193.1	189789	7	BC01-T
GL000194.1	191469	62	BC01-T
GL000225.1	211173	49	BC01-T
GL000192.1	547496	108	BC01-T
1	249250621	2116389	BC18-T2
2	243199373	1503090	BC18-T2
3	198022430	1052352	BC18-T2
4	191154276	571059	BC18-T2
5	180915260	1196386	BC18-T2
6	171115067	1420982	BC18-T2
7	159138663	1798615	BC18-T2
8	146364022	763401	BC18-T2
9	141213431	726247	BC18-T2
10	135534747	630808	BC18-T2
11	135006516	784787	BC18-T2
12	133851895	1275303	BC18-T2
13	115169878	444924	BC18-T2
14	107349540	368320	BC18-T2
15	102531392	747622	BC18-T2
16	90354753	1248782	BC18-T2
17	81195210	1403479	BC18-T2
18	78077248	211610	BC18-T2
19	59128983	1618024	BC18-T2
20	63025520	565776	BC18-T2
21	48129895	344774	BC18-T2
22	51304566	348272	BC18-T2
X	155270560	988116	BC18-T2
Y	59373566	649	BC18-T2
MT	16569	5515	BC18-T2
GL000207.1	4262	0	BC18-T2
GL000226.1	15008	2	BC18-T2
GL000229.1	19913	0	BC18-T2
GL000231.1	27386	0	BC18-T2
GL000210.1	27682	4	BC18-T2
GL000239.1	33824	4	BC18-T2
GL000235.1	34474	3	BC18-T2
GL000201.1	36148	6	BC18-T2
GL000247.1	36422	2	BC18-T2
GL000245.1	36651	18	BC18-T2
GL000197.1	37175	14	BC18-T2
GL000203.1	37498	0	BC18-T2
GL000246.1	38154	3	BC18-T2
GL000249.1	38502	6	BC18-T2
GL000196.1	38914	6	BC18-T2
GL000248.1	39786	2	BC18-T2
GL000244.1	39929	4	BC18-T2
GL000238.1	39939	0	BC18-T2
GL000202.1	40103	2	BC18-T2
GL000234.1	40531	2	BC18-T2
GL000232.1	40652	1	BC18-T2
GL000206.1	41001	8	BC18-T2
GL000240.1	41933	6	BC18-T2
GL000236.1	41934	3168	BC18-T2
GL000241.1	42152	1	BC18-T2
GL000243.1	43341	35	BC18-T2
GL000242.1	43523	4	BC18-T2
GL000230.1	43691	0	BC18-T2
GL000237.1	45867	7	BC18-T2
GL000233.1	45941	2	BC18-T2
GL000204.1	81310	12	BC18-T2
GL000198.1	90085	1	BC18-T2
GL000208.1	92689	17	BC18-T2
GL000191.1	106433	253	BC18-T2
GL000227.1	128374	1448	BC18-T2
GL000228.1	129120	133	BC18-T2
GL000214.1	137718	57	BC18-T2
GL000221.1	155397	54	BC18-T2
GL000209.1	159169	6	BC18-T2
GL000218.1	161147	14	BC18-T2
GL000220.1	161802	18	BC18-T2
GL000213.1	164239	4	BC18-T2
GL000211.1	166566	13	BC18-T2
GL000199.1	169874	18	BC18-T2
GL000217.1	172149	42	BC18-T2
GL000216.1	172294	113	BC18-T2
GL000215.1	172545	15	BC18-T2
GL000205.1	174588	5	BC18-T2
GL000219.1	179198	2	BC18-T2
GL000224.1	179693	15	BC18-T2
GL000223.1	180455	29	BC18-T2
GL000195.1	182896	2	BC18-T2
GL000212.1	186858	5534	BC18-T2
GL000222.1	186861	52	BC18-T2
GL000200.1	187035	20	BC18-T2
GL000193.1	189789	9	BC18-T2
GL000194.1	191469	35	BC18-T2
GL000225.1	211173	13	BC18-T2
GL000192.1	547496	55	BC18-T2
1	249250621	3142587	BC07-T
2	243199373	2020958	BC07-T
3	198022430	1931945	BC07-T
4	191154276	1106138	BC07-T
5	180915260	1369218	BC07-T
6	171115067	2366359	BC07-T
7	159138663	1567862	BC07-T
8	146364022	594439	BC07-T
9	141213431	1126663	BC07-T
10	135534747	870070	BC07-T
11	135006516	1114291	BC07-T
12	133851895	2181794	BC07-T
13	115169878	959945	BC07-T
14	107349540	484806	BC07-T
15	102531392	947983	BC07-T
16	90354753	1900383	BC07-T
17	81195210	2748275	BC07-T
18	78077248	356558	BC07-T
19	59128983	1817489	BC07-T
20	63025520	788719	BC07-T
21	48129895	357911	BC07-T
22	51304566	462075	BC07-T
X	155270560	2252091	BC07-T
Y	59373566	6925	BC07-T
MT	16569	41	BC07-T
GL000207.1	4262	0	BC07-T
GL000226.1	15008	3	BC07-T
GL000229.1	19913	3	BC07-T
GL000231.1	27386	0	BC07-T
GL000210.1	27682	4	BC07-T
GL000239.1	33824	2	BC07-T
GL000235.1	34474	11	BC07-T
GL000201.1	36148	5	BC07-T
GL000247.1	36422	12	BC07-T
GL000245.1	36651	24	BC07-T
GL000197.1	37175	2	BC07-T
GL000203.1	37498	4	BC07-T
GL000246.1	38154	4	BC07-T
GL000249.1	38502	4	BC07-T
GL000196.1	38914	3	BC07-T
GL000248.1	39786	5	BC07-T
GL000244.1	39929	9	BC07-T
GL000238.1	39939	3	BC07-T
GL000202.1	40103	0	BC07-T
GL000234.1	40531	0	BC07-T
GL000232.1	40652	0	BC07-T
GL000206.1	41001	12	BC07-T
GL000240.1	41933	17	BC07-T
GL000236.1	41934	1438	BC07-T
GL000241.1	42152	6	BC07-T
GL000243.1	43341	31	BC07-T
GL000242.1	43523	2	BC07-T
GL000230.1	43691	2	BC07-T
GL000237.1	45867	6	BC07-T
GL000233.1	45941	1	BC07-T
GL000204.1	81310	30	BC07-T
GL000198.1	90085	2	BC07-T
GL000208.1	92689	31	BC07-T
GL000191.1	106433	216	BC07-T
GL000227.1	128374	907	BC07-T
GL000228.1	129120	140	BC07-T
GL000214.1	137718	42	BC07-T
GL000221.1	155397	132	BC07-T
GL000209.1	159169	18	BC07-T
GL000218.1	161147	27	BC07-T
GL000220.1	161802	33	BC07-T
GL000213.1	164239	17	BC07-T
GL000211.1	166566	7	BC07-T
GL000199.1	169874	55	BC07-T
GL000217.1	172149	98	BC07-T
GL000216.1	172294	115	BC07-T
GL000215.1	172545	14	BC07-T
GL000205.1	174588	4	BC07-T
GL000219.1	179198	9	BC07-T
GL000224.1	179693	12	BC07-T
GL000223.1	180455	31	BC07-T
GL000195.1	182896	0	BC07-T
GL000212.1	186858	7188	BC07-T
GL000222.1	186861	66	BC07-T
GL000200.1	187035	14	BC07-T
GL000193.1	189789	11	BC07-T
GL000194.1	191469	57	BC07-T
GL000225.1	211173	47	BC07-T
GL000192.1	547496	83	BC07-T
1	249250621	6072560	BC05-T
2	243199373	4190835	BC05-T
3	198022430	3906190	BC05-T
4	191154276	2249056	BC05-T
5	180915260	2789824	BC05-T
6	171115067	3830876	BC05-T
7	159138663	3237846	BC05-T
8	146364022	1353257	BC05-T
9	141213431	2327220	BC05-T
10	135534747	2160204	BC05-T
11	135006516	2515621	BC05-T
12	133851895	3766834	BC05-T
13	115169878	1831314	BC05-T
14	107349540	1020183	BC05-T
15	102531392	1984821	BC05-T
16	90354753	3832938	BC05-T
17	81195210	4030892	BC05-T
18	78077248	914267	BC05-T
19	59128983	3701402	BC05-T
20	63025520	1461036	BC05-T
21	48129895	875427	BC05-T
22	51304566	903829	BC05-T
X	155270560	3979901	BC05-T
Y	59373566	57447	BC05-T
MT	16569	125	BC05-T
GL000207.1	4262	0	BC05-T
GL000226.1	15008	57	BC05-T
GL000229.1	19913	15	BC05-T
GL000231.1	27386	25	BC05-T
GL000210.1	27682	30	BC05-T
GL000239.1	33824	67	BC05-T
GL000235.1	34474	19	BC05-T
GL000201.1	36148	28	BC05-T
GL000247.1	36422	150	BC05-T
GL000245.1	36651	163	BC05-T
GL000197.1	37175	31	BC05-T
GL000203.1	37498	29	BC05-T
GL000246.1	38154	31	BC05-T
GL000249.1	38502	21	BC05-T
GL000196.1	38914	40	BC05-T
GL000248.1	39786	20	BC05-T
GL000244.1	39929	151	BC05-T
GL000238.1	39939	32	BC05-T
GL000202.1	40103	38	BC05-T
GL000234.1	40531	2	BC05-T
GL000232.1	40652	9	BC05-T
GL000206.1	41001	58	BC05-T
GL000240.1	41933	62	BC05-T
GL000236.1	41934	3973	BC05-T
GL000241.1	42152	39	BC05-T
GL000243.1	43341	488	BC05-T
GL000242.1	43523	40	BC05-T
GL000230.1	43691	0	BC05-T
GL000237.1	45867	63	BC05-T
GL000233.1	45941	2	BC05-T
GL000204.1	81310	33	BC05-T
GL000198.1	90085	20	BC05-T
GL000208.1	92689	267	BC05-T
GL000191.1	106433	612	BC05-T
GL000227.1	128374	1456	BC05-T
GL000228.1	129120	2880	BC05-T
GL000214.1	137718	278	BC05-T
GL000221.1	155397	875	BC05-T
GL000209.1	159169	57	BC05-T
GL000218.1	161147	206	BC05-T
GL000220.1	161802	489	BC05-T
GL000213.1	164239	98	BC05-T
GL000211.1	166566	82	BC05-T
GL000199.1	169874	439	BC05-T
GL000217.1	172149	503	BC05-T
GL000216.1	172294	1004	BC05-T
GL000215.1	172545	103	BC05-T
GL000205.1	174588	8	BC05-T
GL000219.1	179198	96	BC05-T
GL000224.1	179693	308	BC05-T
GL000223.1	180455	190	BC05-T
GL000195.1	182896	1	BC05-T
GL000212.1	186858	16344	BC05-T
GL000222.1	186861	1487	BC05-T
GL000200.1	187035	162	BC05-T
GL000193.1	189789	83	BC05-T
GL000194.1	191469	369	BC05-T
GL000225.1	211173	510	BC05-T
GL000192.1	547496	432	BC05-T
1	249250621	1483271	BC21-T2
2	243199373	1122537	BC21-T2
3	198022430	997150	BC21-T2
4	191154276	595050	BC21-T2
5	180915260	786221	BC21-T2
6	171115067	1236896	BC21-T2
7	159138663	1151240	BC21-T2
8	146364022	569624	BC21-T2
9	141213431	672188	BC21-T2
10	135534747	597805	BC21-T2
11	135006516	632754	BC21-T2
12	133851895	1125004	BC21-T2
13	115169878	479779	BC21-T2
14	107349540	275556	BC21-T2
15	102531392	465916	BC21-T2
16	90354753	793884	BC21-T2
17	81195210	1072309	BC21-T2
18	78077248	194888	BC21-T2
19	59128983	1194514	BC21-T2
20	63025520	355663	BC21-T2
21	48129895	283064	BC21-T2
22	51304566	313338	BC21-T2
X	155270560	739816	BC21-T2
Y	59373566	1017	BC21-T2
MT	16569	13998	BC21-T2
GL000207.1	4262	0	BC21-T2
