ACCUMULATION_LEVEL	READS_USED	WINDOW_SIZE	TOTAL_CLUSTERS	ALIGNED_READS	AT_DROPOUT	GC_DROPOUT	GC_NC_0_19	GC_NC_20_39	GC_NC_40_59	GC_NC_60_79	GC_NC_80_100	SAMPLE	LIBRARY	READ_GROUP	SAMPLE_NAME
All Reads	ALL	100	11026763	22032834	37.026887	0.001442	0.109058	0.380477	1.064942	6.713429	5.31244	NA	NA	NA	BC06-P1
All Reads	ALL	100	23619484	47066226	33.737065	0.001169	0.172083	0.43956	1.058843	6.162561	5.321652	NA	NA	NA	BC10-P1
All Reads	ALL	100	9006796	17998172	34.082186	0.001502	0.114653	0.413056	1.08641	6.180626	4.764238	NA	NA	NA	BC09-P1
All Reads	ALL	100	10038146	19998304	26.669693	5.4e-5	0.19941	0.525827	1.120197	4.688896	4.688339	NA	NA	NA	BC04-T
All Reads	ALL	100	17297592	34473368	33.635031	0.001961	0.178619	0.4387	1.068654	6.088841	4.565131	NA	NA	NA	BC20-P1
All Reads	ALL	100	17703583	35280869	40.63116	1.55e-4	0.13838	0.35437	1.088577	6.744758	5.154357	NA	NA	NA	BC06-T
All Reads	ALL	100	16188875	32302723	46.158936	0.00102	0.181483	0.297328	1.022453	7.936977	6.794209	NA	NA	NA	BC16-T
All Reads	ALL	100	20345281	40587444	34.60899	0.003382	0.155051	0.423237	1.060765	6.341514	3.869834	NA	NA	NA	BC14-P1
All Reads	ALL	100	1642719	3282150	24.866027	0.012652	0.264757	0.564377	1.079173	4.745761	1.960759	NA	NA	NA	BC14-T2
All Reads	ALL	100	20467383	40793882	31.238175	0.003136	0.18615	0.471884	1.073154	5.726068	3.55551	NA	NA	NA	BC15-P1
All Reads	ALL	100	12979294	25924878	27.37535	0.001904	0.260728	0.544011	1.040843	5.292604	3.88283	NA	NA	NA	BC15-T2
All Reads	ALL	100	14511740	28969534	33.954702	0.001108	0.245695	0.43647	1.112956	5.65295	5.143194	NA	NA	NA	BC17-T
All Reads	ALL	100	3235733	6410147	28.52007	0.001843	0.209789	0.510602	1.129129	4.797952	2.51129	NA	NA	NA	BC12-T
All Reads	ALL	100	18974348	37828038	7.887309	0.012806	0.863345	0.86127	1.042834	2.001209	1.453363	NA	NA	NA	BC07-T2
All Reads	ALL	100	13520577	27007405	35.125282	0.001987	0.130614	0.406617	1.073439	6.372774	4.699647	NA	NA	NA	BC08-P1
All Reads	ALL	100	32233600	64386419	36.09232	0.001954	0.114716	0.392475	1.076811	6.486942	4.646584	NA	NA	NA	BC01-P1
All Reads	ALL	100	10627029	21231690	24.489865000000002	0.010858	0.263511	0.572688	1.065912	4.78779	2.174161	NA	NA	NA	BC01-T2
All Reads	ALL	100	18294301	36472953	36.389161	0.002079	0.161259	0.406292	1.043262	6.651121	5.574156	NA	NA	NA	BC05-P1
All Reads	ALL	100	21853622	43565921	33.880422	0.001438	0.166872	0.434874	1.061534	6.190776	5.010243	NA	NA	NA	BC17-P1
All Reads	ALL	100	7669092	15321017	33.907714	7.26e-4	0.168784	0.425182	1.071426	6.191081	5.036306	NA	NA	NA	BC13-P1
All Reads	ALL	100	13446360	26862997	29.12461	0.014722	0.216209	0.512402	1.048181	5.590586	1.802693	NA	NA	NA	BC08-T2
All Reads	ALL	100	20950745	41795045	32.878685	0.001816	0.166195	0.444192	1.07289	5.993961	4.524225	NA	NA	NA	BC16-P1
All Reads	ALL	100	8414302	16813557	35.339476	0.001522	0.113113	0.397636	1.081192	6.389212	4.761211	NA	NA	NA	BC07-P1
All Reads	ALL	100	12169384	24257822	29.384679	1.37e-4	0.19828	0.505489	1.054164	5.503153	6.85091	NA	NA	NA	BC13-T
All Reads	ALL	100	14896347	29713461	26.685171	8e-5	0.196178	0.531695	1.109616	4.752312	3.776424	NA	NA	NA	BC09-T
All Reads	ALL	100	8515538	16962225	34.634678	1.2e-5	0.162585	0.444563	1.013586	6.533217	6.608333	NA	NA	NA	BC08-T
All Reads	ALL	100	11089254	22154565	37.310072	0.002178	0.112844	0.378695	1.061412	6.775227	4.841514	NA	NA	NA	BC03-P1
All Reads	ALL	100	48751539	97302824	3.404154	0.672081	1.036895	0.989758	0.959203	1.501053	0.972543	NA	NA	NA	BC20-N
All Reads	ALL	100	11827138	23522404	23.30367	0.003698	0.290672	0.579723	1.124365	4.120102	2.965182	NA	NA	NA	BC17-N
All Reads	ALL	100	4780396	9547937	39.415254	0.002082	0.168789	0.37336	1.012971	7.290771	5.210588	NA	NA	NA	BC10-N
All Reads	ALL	100	15020021	29932850	30.864518	4.42e-4	0.169486	0.46865	1.116523	5.315071	4.504906	NA	NA	NA	BC02-N
All Reads	ALL	100	10021502	20008631	19.726612	0.002843	0.36539	0.655949	1.05429	4.011886	3.548843	NA	NA	NA	BC18-N
All Reads	ALL	100	14396800	28694708	29.77732	4.94e-4	0.175243	0.481751	1.123547	5.119459	4.118569	NA	NA	NA	BC04-N
All Reads	ALL	100	14928778	29764687	29.564258	3.7e-5	0.179252	0.48605	1.12176	5.088089	4.348488	NA	NA	NA	BC09-N
All Reads	ALL	100	16205911	32302313	29.810852	3.31e-4	0.18004	0.481781	1.122023	5.131354	4.221797	NA	NA	NA	BC06-N
All Reads	ALL	100	13114355	26135129	30.006876	5.51e-4	0.173906	0.478695	1.124026	5.144932	4.173395	NA	NA	NA	BC08-N
All Reads	ALL	100	21439453	42799365	27.794928	0.001792	0.281961	0.540891	1.043651	5.284672	4.315895	NA	NA	NA	BC14-N
All Reads	ALL	100	10034251	20035481	23.209004	0.001424	0.334687	0.608632	1.046757	4.550086	4.648858	NA	NA	NA	BC15-N
All Reads	ALL	100	14021817	27944929	29.842674	0.001491	0.181548	0.483903	1.117704	5.155073	4.073706	NA	NA	NA	BC07-N
All Reads	ALL	100	14213761	28333792	29.823456	3.8e-4	0.176357	0.480067	1.125047	5.120285	4.18587	NA	NA	NA	BC01-N
All Reads	ALL	100	10617623	21202459	24.876518	0.001747	0.30652	0.580773	1.051121	4.80996	3.898218	NA	NA	NA	BC21-N
All Reads	ALL	100	14954599	29805364	30.257071	1.14e-4	0.177113	0.476276	1.12107	5.193681	4.396929	NA	NA	NA	BC12-N
All Reads	ALL	100	4712263	9392526	43.045185	0.004078	0.137545	0.32144	1.0824	7.160976	4.148575	NA	NA	NA	BC05-N
All Reads	ALL	100	15340429	30586500	29.53601	1.2e-5	0.172213	0.483455	1.126832	5.065042	4.376178	NA	NA	NA	BC13-N
All Reads	ALL	100	8532326	17000150	27.337503	0.002147	0.25525	0.527082	1.110809	4.777242	3.831462	NA	NA	NA	BC16-N
All Reads	ALL	100	15560529	31018281	29.985946	8.57e-4	0.172714	0.477852	1.124598	5.148975	4.127696	NA	NA	NA	BC03-N
