Chromosome	Start_Position	End_Position	Log2_Ratio	BAF	qt	q2	tumor_id	normal_id
16	115072	89883007	-0.1285430603554661	0.02666000727915181	2	2	BC01-T2	BC01-N
17	114669	80783038	-0.09565650315772171	0.07846362981108712	2	1	BC01-T2	BC01-N
18	724550	74387299	-0.1234134835505579	0.022436713075081906	2	2	BC01-T2	BC01-N
19	1207008	58288169	0.15401745840324851	0.080462268052989	3	2	BC01-T2	BC01-N
20	345864	60426113	-0.07838363871156218	0.004290261214270041	2	2	BC01-T2	BC01-N
21	17798960	45658303	0.10410163650277425	0.0372031375102866	3	2	BC01-T2	BC01-N
22	19053406	49370864	0.14084931114687854	0.18139922428589775	3	2	BC01-T2	BC01-N
23	3085464	149924738	-0.6067019210651055	0.00991213857263548	0	0	BC01-T2	BC01-N
1	2488123	245977996	-0.0014679006005285239	1.0741666226032858e-4	2	1	BC02-P1	BC02-N
2	4717089	242800994	0.04479524338165736	0.0030707279213793405	2	1	BC02-P1	BC02-N
3	1449841	194238390	-0.02233752915795867	-0.0028879928069207037	2	1	BC02-P1	BC02-N
4	1402672	190262486	-0.0825803224949206	0.004602743751035846	2	1	BC02-P1	BC02-N
5	218467	180058747	0.0010702418135118824	-0.0010002222986804051	2	1	BC02-P1	BC02-N
6	393175	170798892	-0.01975231761312976	0.004177354795004537	2	1	BC02-P1	BC02-N
7	1672540	158450959	0.07862676125051733	0.023181095587052954	2	1	BC02-P1	BC02-N
8	565232	145743174	0.2678966399575615	0.004151093651590802	2	1	BC02-P1	BC02-N
9	421980	139566747	0.05584643676714171	-0.011939875686830035	2	1	BC02-P1	BC02-N
10	1510047	134199109	0.16377546203852342	0.014276745714901496	2	1	BC02-P1	BC02-N
11	532698	133495556	-0.038011164365736594	0.006042589027992547	2	1	BC02-P1	BC02-N
12	394648	12006453	-0.14135802069779402	-0.0035571387217987124	2	NA	BC02-P1	BC02-N
12	12022653	12037103	1.4550578145948685	-0.008499326373408523	6	NA	BC02-P1	BC02-N
12	12037444	133263825	-0.030668580829414288	0.004607355517287662	2	1	BC02-P1	BC02-N
13	21004738	111119052	0.006850595589861591	-0.0012774481610717196	2	1	BC02-P1	BC02-N
14	20347539	105906073	-0.062023994817765896	0.013004181322987127	2	1	BC02-P1	BC02-N
15	26216370	99861659	0.023130758297753115	-0.010282971019616498	2	1	BC02-P1	BC02-N
16	115043	89883007	-0.05468598316593847	0.005884422631291158	2	1	BC02-P1	BC02-N
17	114669	80783009	-0.011919559383907402	0.014300407204681446	2	1	BC02-P1	BC02-N
18	724550	74387326	-0.07662074206239718	0.00923615855882817	2	1	BC02-P1	BC02-N
19	1207038	58288169	0.04147541457820706	-0.0018398860096662034	2	1	BC02-P1	BC02-N
20	345864	60426113	0.04045305480227812	-0.00501046909185611	2	1	BC02-P1	BC02-N
21	17798960	45658303	0.1292535651862015	-0.004546940664053267	2	1	BC02-P1	BC02-N
22	19053406	49370864	0.11315670643757308	-0.011974580011650658	2	NA	BC02-P1	BC02-N
23	3085464	149924738	-0.5120296090767327	-0.007808126788215788	1	NA	BC02-P1	BC02-N
1	2488123	108079945	-0.017465751796415817	1.2120497090212783	2	1	BC02-T	BC02-N
1	109490498	150549931	0.6033020135241777	0.05934559730384343	4	NA	BC02-T	BC02-N
1	150550957	245977996	0.07171505799411329	0.7714180826193571	2	NA	BC02-T	BC02-N
2	4717089	242800994	-0.0370533893137336	0.01734879620644293	2	1	BC02-T	BC02-N
3	1449841	194238390	0.14384858133583983	0.35234986341933894	2	1	BC02-T	BC02-N
4	1402672	55991433	-0.5295220787981163	0.5808356100713346	1	1	BC02-T	BC02-N
4	62707653	166310721	-0.08391535544744635	0.09037395886704322	2	1	BC02-T	BC02-N
4	173704182	190262486	-0.7039584771592546	0.7907102403068098	1	1	BC02-T	BC02-N
5	218467	88365808	-0.14324067661800965	0.3331945742708703	2	1	BC02-T	BC02-N
5	96383752	180058747	0.35772151201543534	1.0328840936551051	3	2	BC02-T	BC02-N
6	393175	46910415	0.05988423355428471	1.134898328342271	2	1	BC02-T	BC02-N
6	65096797	119748232	-0.5388361219200142	0.6369293912989163	1	1	BC02-T	BC02-N
6	121788731	170798892	0.1108156526887031	1.2656727355306674	2	NA	BC02-T	BC02-N
7	1672540	158450959	0.03430989712816221	0.027946539563569916	2	1	BC02-T	BC02-N
8	565232	145743174	0.02319707507331681	0.5781663647295553	2	1	BC02-T	BC02-N
9	421980	5755022	0.03709100750634209	-0.027755968192864976	2	NA	BC02-T	BC02-N
9	8317858	28966263	-0.47520802122117933	0.5097420934111327	1	1	BC02-T	BC02-N
9	31112825	139566747	0.12949052713070058	0.04760586626890639	2	1	BC02-T	BC02-N
10	1510047	134199109	-0.07778031909592925	0.19573339851921154	2	1	BC02-T	BC02-N
11	532698	86333434	0.016096182191081776	0.0012542753780313191	2	1	BC02-T	BC02-N
11	88359631	133495556	-0.3262300764829438	0.4678242195510599	1	1	BC02-T	BC02-N
12	394648	133263825	0.017034928654372172	0.3508851555829807	2	1	BC02-T	BC02-N
13	21004738	111119052	-0.021935641341337492	1.1457879706927083	2	2	BC02-T	BC02-N
14	20347539	105906073	-0.0777334340948663	0.08690863832464951	2	1	BC02-T	BC02-N
15	26216370	99861659	0.10196296625414916	0.06475889722791983	2	1	BC02-T	BC02-N
16	115043	89883007	-0.27841680523216855	0.44913245162201315	2	1	BC02-T	BC02-N
17	114669	37657568	-0.3204076487213616	0.38163498549277985	1	1	BC02-T	BC02-N
17	37666031	37884234	2.887097246587815	0	25	NA	BC02-T	BC02-N
17	38487490	56440946	-0.2934036206604467	0.03103312424336268	2	NA	BC02-T	BC02-N
17	56448297	80783009	0.7619592635206998	0.25793933135598646	4	NA	BC02-T	BC02-N
18	724550	74387326	-0.24803473509382667	0.1973128893577501	2	1	BC02-T	BC02-N
19	1207038	58288169	-0.0049571546715042325	0.021457940060095798	2	1	BC02-T	BC02-N
20	345864	60426113	0.07441950003138131	0.006262999286359313	2	1	BC02-T	BC02-N
21	17798960	45658303	-0.04106593092956018	0.002253431310964702	2	1	BC02-T	BC02-N
22	19053406	49370864	-0.31019829667545873	0.6319509543180746	1	1	BC02-T	BC02-N
23	3085464	149924738	-0.10013267068538656	0.09670831382491694	2	NA	BC02-T	BC02-N
1	2488123	245977996	-0.013201687769803391	0.007418200684765234	2	1	BC03-P1	BC03-N
2	4717038	242800992	0.03912191198848369	0.009835036431396767	2	1	BC03-P1	BC03-N
3	1449841	194238390	-0.030031250253557018	0.014117708814004135	2	1	BC03-P1	BC03-N
4	1402650	190262486	-0.11242669090072693	0.016820160415232557	2	1	BC03-P1	BC03-N
5	218487	180058747	-0.04000656640287997	0.002793233810827276	2	1	BC03-P1	BC03-N
6	393359	170798912	-0.021199306582207103	0.005928724486427915	2	1	BC03-P1	BC03-N
7	1672540	158451007	0.09138760014162434	0.002463391519411961	2	1	BC03-P1	BC03-N
8	565232	145743174	0.24246260968514227	-0.0057575624672989035	2	1	BC03-P1	BC03-N
9	421980	139566747	0.005076637971611342	-0.006326567724917767	2	1	BC03-P1	BC03-N
10	1510047	134199109	0.2079437218088285	0.007972032671196403	2	1	BC03-P1	BC03-N
11	532741	133495520	-0.02673811992141292	0.0018428799134164527	2	1	BC03-P1	BC03-N
12	394782	12022562	-0.13181394199689941	0.005251478615119157	2	NA	BC03-P1	BC03-N
12	12023023	12037318	1.560198687171758	-0.00348693378842281	6	NA	BC03-P1	BC03-N
12	12043908	133263825	-0.023829742936131326	0.005364734682647177	2	1	BC03-P1	BC03-N
13	21004757	111119052	0.015991096203439588	0.0037003011417611484	2	1	BC03-P1	BC03-N
14	20347539	105906024	-0.052303878545924276	0.007715453764108955	2	1	BC03-P1	BC03-N
15	26216370	99861659	0.003448392257930172	0.005152037829561364	2	1	BC03-P1	BC03-N
16	115042	89883003	-0.07033928316469128	-0.011312748488042429	2	1	BC03-P1	BC03-N
17	114639	80783038	-0.029634136335145722	0.007841734833492953	2	1	BC03-P1	BC03-N
18	724580	74387299	-0.09413063470921115	-0.007738083044336873	2	NA	BC03-P1	BC03-N
19	1207020	58288169	0.08462950842088558	0.006668218824092532	2	1	BC03-P1	BC03-N
20	345864	60426135	0.049148489877906286	3.167541585200989e-4	2	1	BC03-P1	BC03-N
21	17798960	45658303	0.19442436997407372	0.004394906659887707	2	1	BC03-P1	BC03-N
22	19053422	49370834	0.08225245318669736	0.003546287249626962	2	1	BC03-P1	BC03-N
23	3085464	149924738	-0.45619312797577066	-0.0028127700124261587	1	1	BC03-P1	BC03-N
1	2488123	245977996	0.08156978838639785	0.08021310283661039	3	2	BC03-T	BC03-N
2	4717038	242800992	0.08537100913631232	-0.0016241659336140584	4	2	BC03-T	BC03-N
3	1449841	194238390	0.14158062210659664	0.028365612408559143	4	2	BC03-T	BC03-N
4	1402650	190262486	-0.29230424836078506	0.18497095149266377	1	1	BC03-T	BC03-N
5	218487	180058747	-0.1834944223524421	0.18690615480198797	2	1	BC03-T	BC03-N
6	393359	170798912	0.08886071056961287	0.002309881963219834	4	2	BC03-T	BC03-N
7	1672540	158451007	0.09920796256132552	0.01035862523593999	4	2	BC03-T	BC03-N
8	565232	145743174	0.042758158807833124	0.08814742966143721	3	2	BC03-T	BC03-N
9	421980	139566747	0.0030525253022112286	0.07921000049399972	3	2	BC03-T	BC03-N
10	1510047	134199109	0.10468802372400422	0.038227888468039074	3	2	BC03-T	BC03-N
11	532741	133495520	-0.08247644761605594	0.03862934334103765	2	1	BC03-T	BC03-N
12	394782	18499636	0.16131325480230715	-0.004131360956137498	4	3	BC03-T	BC03-N
12	18515820	133263825	-0.19836933081322622	0.16388601720713344	2	1	BC03-T	BC03-N
13	21004757	111119052	-0.17588766245544124	0.1943817424186773	2	1	BC03-T	BC03-N
14	20347539	105906024	-0.26482967883745284	0.29392760339395796	2	2	BC03-T	BC03-N
15	26216370	99861659	-0.15399082492770866	0.20250668434089997	2	2	BC03-T	BC03-N
16	115042	89883003	-0.13461066103984232	0.15955523387284168	2	2	BC03-T	BC03-N
17	114639	80783038	-0.1117763824836675	0.28407596244164635	2	2	BC03-T	BC03-N
18	724580	74387299	0.04510426364309911	0.06703528554047737	3	NA	BC03-T	BC03-N
19	1207020	19261548	0.07495014961558266	0.0010208842234200144	3	NA	BC03-T	BC03-N
19	28780473	45873781	0.3106556176551446	0.16884949786039746	5	NA	BC03-T	BC03-N
19	47725125	58288169	0.14988334574873016	0.03574181737440278	4	NA	BC03-T	BC03-N
20	345864	60426135	-0.11790759095364298	0.24380981614074507	2	2	BC03-T	BC03-N
21	17798960	45658303	-0.08783389524501034	0.13961653838718868	2	2	BC03-T	BC03-N
22	19053422	49370834	-0.10372862563985863	0.21692204412014485	2	2	BC03-T	BC03-N
23	3085464	149924738	0.04110701488924881	0.005866135154601115	3	2	BC03-T	BC03-N
1	2488153	245977996	-0.020106275392237416	0.0026266193488342724	2	1	BC04-P1	BC04-N
2	4717089	242800992	0.05786756049214209	0.007771520478736386	2	1	BC04-P1	BC04-N
3	1449872	194238356	-0.03401316108073221	-0.010103160216516506	2	1	BC04-P1	BC04-N
4	1402650	190262486	-0.10103917038179495	1.282960461623857e-4	2	1	BC04-P1	BC04-N
5	218503	180058761	-0.011829451323171605	0.004359513774748178	2	1	BC04-P1	BC04-N
6	393212	170798912	-0.015624109997395719	0.0011389637406415119	2	1	BC04-P1	BC04-N
7	1672540	158450965	0.12177397150495471	0.00348407905605215	2	1	BC04-P1	BC04-N
8	565232	145743174	0.315075900401422	-0.009914658073757137	3	1	BC04-P1	BC04-N
9	422013	139566746	0.0021870483118640177	-0.001002610204504296	2	1	BC04-P1	BC04-N
10	1510047	134199067	0.2222988026190857	0.006311301827266597	2	1	BC04-P1	BC04-N
11	532698	133495577	-0.03346644880732852	0.005191108765309523	2	1	BC04-P1	BC04-N
12	394782	12022922	-0.12950544002550027	-0.013662876205196824	2	NA	BC04-P1	BC04-N
12	12023088	12037081	1.6424428064308685	-0.004319210819508605	6	NA	BC04-P1	BC04-N
12	12037466	133263825	-0.045645436071511405	-8.563950621036048e-4	2	1	BC04-P1	BC04-N
13	21004757	111119077	0.05362809722818995	0.018767064072690038	2	1	BC04-P1	BC04-N
14	20347529	105906073	0.01951135114934688	-0.004287365102126398	2	1	BC04-P1	BC04-N
15	26216409	99861618	-0.01969504356375599	0.004244214815337934	2	1	BC04-P1	BC04-N
16	115072	89883003	-0.017837138012749276	-3.5541519396529807e-4	2	1	BC04-P1	BC04-N
17	114669	80783009	-0.03381419320318663	0.0015092968085115668	2	1	BC04-P1	BC04-N
18	724580	74387299	0.017756749422539284	0.009152481458857551	2	1	BC04-P1	BC04-N
19	1207038	58288184	0.0541533994885266	0.0011826333222364905	2	1	BC04-P1	BC04-N
20	345864	60426113	0.011478207789225703	0.009052437994220905	2	1	BC04-P1	BC04-N
21	17798960	45658322	0.20118938065445513	0.007425605707631825	2	1	BC04-P1	BC04-N
22	19053422	49370834	0.12697031930077485	0.015044852959811795	2	NA	BC04-P1	BC04-N
23	3085464	149924738	-0.4685684410005426	0.002697261357756068	1	1	BC04-P1	BC04-N
1	2488153	245977996	0.06739585398436163	0.01043009151604177	2	1	BC04-T	BC04-N
2	4717089	242800992	0.07509015544270414	0.17322355617229765	2	1	BC04-T	BC04-N
3	1449872	194238356	0.04571445908092629	0.01640225163046984	2	1	BC04-T	BC04-N
4	1402650	190262486	0.0464259817931182	0.009315739500463141	2	1	BC04-T	BC04-N
5	218503	180058761	-0.07049451660342339	0.00135953149713534	2	1	BC04-T	BC04-N
6	393212	170798912	0.05403151112214555	0.06569208631953914	2	1	BC04-T	BC04-N
7	1672540	158450965	0.20819643422505502	0.2007751517268168	3	2	BC04-T	BC04-N
8	565232	145743174	0.11421786641892856	-0.004974957751798571	2	1	BC04-T	BC04-N
9	422013	139566746	-0.021790608004922704	0.02276213327792776	2	1	BC04-T	BC04-N
10	1510047	134199067	-0.03157672449500126	-0.007999253111808732	2	1	BC04-T	BC04-N
11	532698	133495577	-0.03162333626810829	0.0011570690769100713	2	1	BC04-T	BC04-N
12	394782	133263825	0.0332520217534128	-6.145185407094077e-5	2	1	BC04-T	BC04-N
13	21004757	111119077	0.24516913088710254	0.1058261493723959	3	2	BC04-T	BC04-N
14	20347529	105906073	0.18268146836700164	0.02477753864052397	3	2	BC04-T	BC04-N
15	26216409	99861618	0.026471487273404967	-0.010417293722660176	2	1	BC04-T	BC04-N
16	115072	89883003	-0.22624788297965892	4.902060297422049e-4	1	1	BC04-T	BC04-N
17	114669	80783009	-0.19958786770103243	0.11825264324190156	1	1	BC04-T	BC04-N
18	724580	74387299	0.07482634149225417	0.08055904438813166	2	2	BC04-T	BC04-N
19	1207038	58288184	-0.3159717054088429	-0.007387806555374389	0	0	BC04-T	BC04-N
20	345864	60426113	0.20412553291203625	-0.012648234459992906	3	2	BC04-T	BC04-N
21	17798960	45658322	0.029364132600374404	-0.0068440740145559445	2	2	BC04-T	BC04-N
22	19053422	49370834	-0.23997149593921518	0.0272636289538594	1	1	BC04-T	BC04-N
23	3085464	149924738	-0.026895385274916177	0.1064149124637796	2	2	BC04-T	BC04-N
1	2488153	245977996	-0.06740279276113181	0.05652966944713362	2	1	BC04-T2	BC04-N
2	4717089	113993867	0.2779405110078645	0.3651543875758641	2	1	BC04-T2	BC04-N
2	113994079	242800992	-0.43558843756190113	1.5076184810861235	1	1	BC04-T2	BC04-N
3	1449872	194238356	-0.028892574980184244	0.039968352847790996	2	1	BC04-T2	BC04-N
4	1402650	190262486	-0.3128276309465382	0.0401644527516309	1	1	BC04-T2	BC04-N
5	218503	180058761	-0.08093699307804039	0.01200580752363536	2	1	BC04-T2	BC04-N
6	393212	68164989	0.012079047606849802	0.015477276152659892	2	1	BC04-T2	BC04-N
6	72558584	170798912	-0.5729077631655752	0.8874944539804239	1	1	BC04-T2	BC04-N
7	1672540	64721546	1.0278339023198364	0.3789875071152571	6	4	BC04-T2	BC04-N
7	67074017	158450965	0.36780173951031603	0.06710282572812969	2	1	BC04-T2	BC04-N
8	565232	145743174	0.3549950025249706	0.02006820512272872	2	1	BC04-T2	BC04-N
9	422013	139566746	-0.2878743610349548	0.20489706790524184	1	1	BC04-T2	BC04-N
10	1510047	134199067	0.0814338317274752	0.02374843466948912	2	1	BC04-T2	BC04-N
11	532698	133495577	-0.03920904231277278	0.011477542264495728	2	1	BC04-T2	BC04-N
12	394782	12022922	0.032596534607533575	-0.004044106590326339	2	NA	BC04-T2	BC04-N
12	12023088	12037081	1.8674723277019325	8.588831016765583e-4	9	NA	BC04-T2	BC04-N
12	12037466	133263825	-0.03579708050914368	0.015613658465216425	2	1	BC04-T2	BC04-N
13	21004757	111119077	0.2157357386242742	0.103675880580491	2	1	BC04-T2	BC04-N
14	20347529	105906073	-0.05928133532201796	0.10650995512070716	2	1	BC04-T2	BC04-N
15	26216409	99861618	-0.1644105681135123	0.042310536444884625	2	1	BC04-T2	BC04-N
16	115072	89883003	0.08305936624453925	-0.005462705348701491	2	1	BC04-T2	BC04-N
17	114669	80783009	-0.33180958969139507	0.661830464988546	1	1	BC04-T2	BC04-N
18	724580	74387299	-0.16809367308178658	0.008726909452660032	2	1	BC04-T2	BC04-N
19	1207038	58288184	0.07177619735815988	0.02075263521388176	2	1	BC04-T2	BC04-N
20	345864	60426113	0.10780689842078206	0.012061980437740153	2	1	BC04-T2	BC04-N
21	17798960	45658322	-0.26560638368026734	0.030796815646266587	2	1	BC04-T2	BC04-N
22	19053422	49370834	0.24020043574730288	0.06608230327817965	2	NA	BC04-T2	BC04-N
23	3085464	149924738	-0.48711011499932744	0.19710287696704493	1	1	BC04-T2	BC04-N
1	2488153	245977997	0.014353180494451598	0.028376103996602776	1	1	BC05-P1	BC05-N
2	5429260	242800960	0.16140416855413403	-0.0010206035519115828	2	1	BC05-P1	BC05-N
3	9040990	194238390	0.027216728941534374	0.04516571307166605	1	1	BC05-P1	BC05-N
4	1402650	190262486	0.3283990950422826	-0.00998457501616601	3	2	BC05-P1	BC05-N
5	218503	180058747	0.2794667445137905	0.03931101921588875	3	2	BC05-P1	BC05-N
6	393272	170798892	0.15595612872070297	0.022328004931983496	2	1	BC05-P1	BC05-N
7	1672540	158450965	0.10633475192781255	0.11518853708875444	2	1	BC05-P1	BC05-N
8	565232	145742879	0.3286053608845414	0.3162901008097958	3	2	BC05-P1	BC05-N
9	422008	139566698	0.1681089373538166	-0.010798640453603523	2	2	BC05-P1	BC05-N
10	1510047	134199109	0.3877223898595767	0.09482751673143403	3	2	BC05-P1	BC05-N
11	532698	133495576	0.018352945464926884	0.014062137981885985	1	1	BC05-P1	BC05-N
12	394797	133263886	0.16508783147913636	0.0016838383853322973	2	1	BC05-P1	BC05-N
13	21004738	111119077	0.02788236604113803	0.06715844907114134	1	1	BC05-P1	BC05-N
14	21337266	105906024	0.06490300167202584	0.37647360281143033	2	NA	BC05-P1	BC05-N
15	26216370	99861618	-0.12188481536776291	0.06138934305878248	1	1	BC05-P1	BC05-N
16	115054	89883024	-0.06520568154413997	0.17752604012270987	1	1	BC05-P1	BC05-N
17	114669	78938055	0.24901026779906704	0.05027313377129964	2	NA	BC05-P1	BC05-N
18	724580	73601984	0.19586422137799298	0.23661676542672475	2	NA	BC05-P1	BC05-N
19	1207038	58288184	0.14005170469088934	0.14312374822838725	2	1	BC05-P1	BC05-N
20	1421941	60426135	0.03851425927652466	0.020774662771395707	1	1	BC05-P1	BC05-N
21	27340259	45658340	0.0816503676739063	0.0028283800715040762	2	2	BC05-P1	BC05-N
22	19053406	49370817	-0.02810570514686811	0.0617524822143367	1	1	BC05-P1	BC05-N
23	5699394	149924738	-0.455318470181174	0.022503860883715726	0	0	BC05-P1	BC05-N
1	2488153	245977997	-0.020382314786789313	0.040596537863958435	1	1	BC05-T	BC05-N
2	5429260	242800960	0.1401116589611551	0.00469914637324459	2	1	BC05-T	BC05-N
3	9040990	194238390	0.047732260828179385	-0.0015883204278159164	2	NA	BC05-T	BC05-N
4	1402650	190262486	0.36378065041389257	-0.004247670666954951	3	2	BC05-T	BC05-N
5	218503	180058747	0.27883983872642154	0.04287960335909912	3	2	BC05-T	BC05-N
6	393272	170798892	0.18140325561026072	0.041482364658697236	2	1	BC05-T	BC05-N
7	1672540	158450965	0.03956749296769713	0.13108324614309086	2	1	BC05-T	BC05-N
8	565232	145742879	0.05525518868288559	0.3163963669556043	2	2	BC05-T	BC05-N
9	422008	139566698	0.05384716575311144	-0.021409130905061333	2	2	BC05-T	BC05-N
10	1510047	134199109	0.24535852554253446	0.07009825332932225	3	2	BC05-T	BC05-N
11	532698	133495576	0.027016314224800775	0.003700072991698509	2	NA	BC05-T	BC05-N
12	394797	133263886	0.13689739566486142	-0.004209118091718385	2	1	BC05-T	BC05-N
13	21004738	111119077	0.07455606856663782	0.07051748932774686	2	2	BC05-T	BC05-N
14	21337266	105906024	0.1020609375188255	0.29776151208236296	2	NA	BC05-T	BC05-N
15	26216370	99861618	-0.138407072619374	0.04060770824003301	1	1	BC05-T	BC05-N
16	115054	89883024	-0.10841876262325156	0.2048189219396244	1	1	BC05-T	BC05-N
17	114669	78938055	0.1698796342188973	0.10115703845891587	2	NA	BC05-T	BC05-N
18	724580	73601984	0.2526986000584861	0.22785749779603756	2	NA	BC05-T	BC05-N
19	1207038	58288184	0.07037556846938449	0.13991627552098046	2	1	BC05-T	BC05-N
20	1421941	60426135	0.030217412365066754	-0.032385927859518035	2	NA	BC05-T	BC05-N
21	27340259	45658340	0.0059447048877874775	0.006219181861844414	1	1	BC05-T	BC05-N
